INFO:root:Application Started
INFO:tornado.access:200 POST /win_exists (127.0.0.1) 0.32ms
INFO:tornado.access:200 POST /update (127.0.0.1) 0.36ms
INFO:tornado.access:200 POST /events (127.0.0.1) 1.41ms
INFO:tornado.access:200 POST /events (127.0.0.1) 0.61ms
INFO:tornado.access:200 POST /events (127.0.0.1) 0.38ms
INFO:tornado.access:200 POST /events (127.0.0.1) 0.39ms
INFO:tornado.access:200 POST /win_exists (127.0.0.1) 0.48ms
INFO:tornado.access:200 POST /update (127.0.0.1) 0.71ms
INFO:tornado.access:200 POST /win_exists (127.0.0.1) 0.34ms
INFO:tornado.access:200 POST /update (127.0.0.1) 0.38ms
INFO:tornado.access:200 POST /win_exists (127.0.0.1) 0.34ms
INFO:tornado.access:200 POST /update (127.0.0.1) 0.38ms
INFO:tornado.access:200 POST /win_exists (127.0.0.1) 0.34ms
INFO:tornado.access:200 POST /update (127.0.0.1) 0.38ms
INFO:tornado.access:200 POST /win_exists (127.0.0.1) 0.35ms
INFO:tornado.access:200 POST /update (127.0.0.1) 0.39ms
INFO:tornado.access:200 POST /events (127.0.0.1) 0.78ms
INFO:tornado.access:200 POST /events (127.0.0.1) 0.58ms
INFO:tornado.access:200 POST /events (127.0.0.1) 0.37ms
INFO:tornado.access:200 POST /events (127.0.0.1) 0.38ms
Traceback (most recent call last):
  File "/home/ubuntu/anaconda3/lib/python3.6/runpy.py", line 193, in _run_module_as_main
    "__main__", mod_spec)
  File "/home/ubuntu/anaconda3/lib/python3.6/runpy.py", line 85, in _run_code
    exec(code, run_globals)
  File "/home/ubuntu/anaconda3/lib/python3.6/site-packages/visdom/server.py", line 1184, in <module>
    download_scripts_and_run()
  File "/home/ubuntu/anaconda3/lib/python3.6/site-packages/visdom/server.py", line 1180, in download_scripts_and_run
    main()
  File "/home/ubuntu/anaconda3/lib/python3.6/site-packages/visdom/server.py", line 1175, in main
    print_func=print_func, user_credential=user_credential)
  File "/home/ubuntu/anaconda3/lib/python3.6/site-packages/visdom/server.py", line 1113, in start_server
    app.listen(port, max_buffer_size=1024 ** 3)
  File "/home/ubuntu/anaconda3/lib/python3.6/site-packages/tornado/web.py", line 1943, in listen
    server.listen(port, address)
  File "/home/ubuntu/anaconda3/lib/python3.6/site-packages/tornado/tcpserver.py", line 142, in listen
    sockets = bind_sockets(port, address=address)
  File "/home/ubuntu/anaconda3/lib/python3.6/site-packages/tornado/netutil.py", line 197, in bind_sockets
    sock.bind(sockaddr)
OSError: [Errno 98] Address already in use
Downloading scripts. It might take a while.
It's Alive!
INFO:tornado.access:200 POST /env/faster-rcnn (127.0.0.1) 0.76ms
INFO:tornado.access:200 POST /events (127.0.0.1) 0.48ms
INFO:tornado.access:200 POST /events (127.0.0.1) 0.51ms
INFO:tornado.access:200 POST /events (127.0.0.1) 0.37ms
INFO:tornado.access:200 POST /events (127.0.0.1) 0.37ms
INFO:tornado.access:200 POST /events (127.0.0.1) 0.37ms
INFO:tornado.access:200 POST /events (127.0.0.1) 0.37ms
INFO:tornado.access:200 POST /events (127.0.0.1) 0.64ms
INFO:tornado.access:200 POST /events (127.0.0.1) 0.61ms
INFO:tornado.access:200 POST /events (127.0.0.1) 0.38ms
INFO:tornado.access:200 POST /events (127.0.0.1) 0.39ms
INFO:tornado.access:200 POST /win_exists (127.0.0.1) 0.45ms
INFO:tornado.access:200 POST /update (127.0.0.1) 0.38ms
INFO:tornado.access:200 POST /win_exists (127.0.0.1) 0.61ms
INFO:tornado.access:200 POST /update (127.0.0.1) 0.36ms
INFO:tornado.access:200 POST /win_exists (127.0.0.1) 0.31ms
INFO:tornado.access:200 POST /update (127.0.0.1) 0.36ms
INFO:tornado.access:200 POST /win_exists (127.0.0.1) 0.31ms
INFO:tornado.access:200 POST /update (127.0.0.1) 0.36ms
INFO:tornado.access:200 POST /win_exists (127.0.0.1) 0.32ms
INFO:tornado.access:200 POST /update (127.0.0.1) 0.36ms
INFO:tornado.access:200 POST /events (127.0.0.1) 0.92ms
INFO:tornado.access:200 POST /events (127.0.0.1) 0.90ms
INFO:tornado.access:200 POST /events (127.0.0.1) 0.49ms
INFO:tornado.access:200 POST /events (127.0.0.1) 0.47ms
INFO:tornado.access:200 POST /win_exists (127.0.0.1) 0.46ms
INFO:tornado.access:200 POST /update (127.0.0.1) 0.67ms
INFO:tornado.access:200 POST /win_exists (127.0.0.1) 0.32ms
